;Unnamed: 0;valor_total_conta;valor_gorjeta;sobremesa;dia_da_semana;tipo_refeicao;quantidade_pessoas;porcentagem
0;0;16.99;1.01;Não;Dom;Jantar;2;0.06
1;1;10.34;1.66;Não;Dom;Jantar;3;0.16
2;2;21.01;3.5;Não;Dom;Jantar;3;0.17
3;3;23.68;3.31;Não;Dom;Jantar;2;0.14
4;4;24.59;3.61;Não;Dom;Jantar;4;0.15
5;5;25.29;4.71;Não;Dom;Jantar;4;0.19
6;6;8.77;2.0;Não;Dom;Jantar;2;0.23
7;7;26.88;3.12;Não;Dom;Jantar;4;0.12
8;8;15.04;1.96;Não;Dom;Jantar;2;0.13
9;9;14.78;3.23;Não;Dom;Jantar;2;0.22
10;10;10.27;1.71;Não;Dom;Jantar;2;0.17
11;11;35.26;5.0;Não;Dom;Jantar;4;0.14
12;12;15.42;1.57;Não;Dom;Jantar;2;0.1
13;13;18.43;3.0;Não;Dom;Jantar;4;0.16
14;14;14.83;3.02;Não;Dom;Jantar;2;0.2
15;15;21.58;3.92;Não;Dom;Jantar;2;0.18
16;16;10.33;1.67;Não;Dom;Jantar;3;0.16
17;17;16.29;3.71;Não;Dom;Jantar;3;0.23
18;18;16.97;3.5;Não;Dom;Jantar;3;0.21
19;19;20.65;3.35;Não;Sab;Jantar;3;0.16
20;20;17.92;4.08;Não;Sab;Jantar;2;0.23
21;21;20.29;2.75;Não;Sab;Jantar;2;0.14
22;22;15.77;2.23;Não;Sab;Jantar;2;0.14
23;23;39.42;7.58;Não;Sab;Jantar;4;0.19
24;24;19.82;3.18;Não;Sab;Jantar;2;0.16
25;25;17.81;2.34;Não;Sab;Jantar;4;0.13
26;26;13.37;2.0;Não;Sab;Jantar;2;0.15
27;27;12.69;2.0;Não;Sab;Jantar;2;0.16
28;28;21.7;4.3;Não;Sab;Jantar;2;0.2
29;29;19.65;3.0;Não;Sab;Jantar;2;0.15
30;30;9.55;1.45;Não;Sab;Jantar;2;0.15
31;31;18.35;2.5;Não;Sab;Jantar;4;0.14
32;32;15.06;3.0;Não;Sab;Jantar;2;0.2
33;33;20.69;2.45;Não;Sab;Jantar;4;0.12
34;34;17.78;3.27;Não;Sab;Jantar;2;0.18
35;35;24.06;3.6;Não;Sab;Jantar;3;0.15
36;36;16.31;2.0;Não;Sab;Jantar;3;0.12
37;37;16.93;3.07;Não;Sab;Jantar;3;0.18
